label,fp,dd,untainting,Explor SAT,Explor UNSAT,Explor other,Explor total,Explor time,CF SAT,CF UNSAT,CF other,CF total,CF time,Mem SAT,Mem UNSAT,Mem other,Mem total,Mem time,Insec SAT,Insec UNSAT,Insec other,Insec total,Insec time,Model total,Model time,Enum total,Enum time,Total SAT,Total UNSAT,Total other,Total total,Total time,average query size,max query size,done checks,spared checks,paths,conditions,forks,dba_instructions,x86instructions,wall time,violations,status,exit code,MAX_DEPTH,MAX_PATH,TIMEOUT,store,canonical,mem_type,solver,bopt
ct_select_v1_cl30_O0,Never,1,0,3,0,0,3,0.007983,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,3,0,0,3,0.007983,1170.666667,1473,0,0,1,0,0,277,76,0.026766,0,0000,0,0,0,inf,sse,0,std,boolector,0
ct_select_v1_cl30_O0,Never,1,0,3,0,0,3,0.006386,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,3,0,0,3,0.006386,175.000000,187,0,0,1,0,0,277,76,0.022433,0,0000,0,0,0,inf,sse,0,std,boolector,1
ct_select_v1_cl30_O0,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,277,76,0.007567,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
ct_select_v1_cl30_O3,Never,1,0,4,0,0,4,0.012048,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,4,0,0,4,0.012048,328.500000,335,0,0,2,0,1,102,34,0.024049,0,0000,0,0,0,inf,sse,0,std,boolector,0
ct_select_v1_cl30_O3,Never,1,0,4,0,0,4,0.012359,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,4,0,0,4,0.012359,38.000000,64,0,0,2,0,1,102,34,0.022413,0,0000,0,0,0,inf,sse,0,std,boolector,1
ct_select_v1_cl30_O3,Never,1,0,2,0,0,2,0.006465,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,2,0,0,2,0.006465,271.000000,271,0,0,2,0,1,102,34,0.013857,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
ct_select_v1_cl39_O0,Never,1,0,3,0,0,3,0.007196,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,3,0,0,3,0.007196,1352.666667,1670,0,0,1,0,0,301,77,0.025120,0,0000,0,0,0,inf,sse,0,std,boolector,0
ct_select_v1_cl39_O0,Never,1,0,3,0,0,3,0.006509,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,3,0,0,3,0.006509,181.000000,193,0,0,1,0,0,301,77,0.022980,0,0000,0,0,0,inf,sse,0,std,boolector,1
ct_select_v1_cl39_O0,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,301,77,0.007957,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
ct_select_v1_cl39_O3,Never,1,0,4,0,0,4,0.013553,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,4,0,0,4,0.013553,254.500000,261,0,0,2,0,1,82,29,0.023850,0,0000,0,0,0,inf,sse,0,std,boolector,0
ct_select_v1_cl39_O3,Never,1,0,4,0,0,4,0.012318,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,4,0,0,4,0.012318,31.000000,54,0,0,2,0,1,82,29,0.021594,0,0000,0,0,0,inf,sse,0,std,boolector,1
ct_select_v1_cl39_O3,Never,1,0,2,0,0,2,0.006578,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,2,0,0,2,0.006578,175.000000,175,0,0,2,0,1,82,29,0.013673,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
ct_select_v1_cl7_O0,Never,1,0,3,0,0,3,0.008947,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,3,0,0,3,0.008947,1374.000000,1698,0,0,1,0,0,309,80,0.026345,0,0000,0,0,0,inf,sse,0,std,boolector,0
ct_select_v1_cl7_O0,Never,1,0,3,0,0,3,0.005563,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,3,0,0,3,0.005563,185.000000,195,0,0,1,0,0,309,80,0.022776,0,0000,0,0,0,inf,sse,0,std,boolector,1
ct_select_v1_cl7_O0,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,309,80,0.008414,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
ct_select_v1_cl7_O3,Never,1,0,4,0,0,4,0.013224,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,4,0,0,4,0.013224,254.500000,261,0,0,2,0,1,82,29,0.023487,0,0000,0,0,0,inf,sse,0,std,boolector,0
ct_select_v1_cl7_O3,Never,1,0,4,0,0,4,0.012574,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,4,0,0,4,0.012574,31.000000,54,0,0,2,0,1,82,29,0.021615,0,0000,0,0,0,inf,sse,0,std,boolector,1
ct_select_v1_cl7_O3,Never,1,0,2,0,0,2,0.006889,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,2,0,0,2,0.006889,175.000000,175,0,0,2,0,1,82,29,0.014028,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
ct_select_v1_gcc5_O0,Never,1,0,3,0,0,3,0.008527,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,3,0,0,3,0.008527,1389.000000,1640,0,0,1,0,0,295,70,0.025346,0,0000,0,0,0,inf,sse,0,std,boolector,0
ct_select_v1_gcc5_O0,Never,1,0,3,0,0,3,0.007013,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,3,0,0,3,0.007013,141.000000,153,0,0,1,0,0,295,70,0.021519,0,0000,0,0,0,inf,sse,0,std,boolector,1
ct_select_v1_gcc5_O0,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,295,70,0.008541,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
ct_select_v1_gcc5_O3,Never,1,0,1,0,0,1,0.003197,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1,0,0,1,0.003197,633.000000,633,0,0,1,0,0,136,35,0.010484,0,0000,0,0,0,inf,sse,0,std,boolector,0
ct_select_v1_gcc5_O3,Never,1,0,1,0,0,1,0.003183,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1,0,0,1,0.003183,76.000000,76,0,0,1,0,0,136,35,0.009762,0,0000,0,0,0,inf,sse,0,std,boolector,1
ct_select_v1_gcc5_O3,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,136,35,0.005564,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
ct_select_v1_gcc8_O0,Never,1,0,3,0,0,3,0.008042,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,3,0,0,3,0.008042,1389.000000,1640,0,0,1,0,0,295,70,0.024498,0,0000,0,0,0,inf,sse,0,std,boolector,0
ct_select_v1_gcc8_O0,Never,1,0,3,0,0,3,0.006845,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,3,0,0,3,0.006845,141.000000,153,0,0,1,0,0,295,70,0.021921,0,0000,0,0,0,inf,sse,0,std,boolector,1
ct_select_v1_gcc8_O0,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,295,70,0.007847,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
