label,fp,dd,untainting,Explor SAT,Explor UNSAT,Explor other,Explor total,Explor time,CF SAT,CF UNSAT,CF other,CF total,CF time,Mem SAT,Mem UNSAT,Mem other,Mem total,Mem time,Insec SAT,Insec UNSAT,Insec other,Insec total,Insec time,Model total,Model time,Enum total,Enum time,Total SAT,Total UNSAT,Total other,Total total,Total time,average query size,max query size,done checks,spared checks,paths,conditions,forks,dba_instructions,x86instructions,wall time,violations,status,exit code,MAX_DEPTH,MAX_PATH,TIMEOUT,store,canonical,mem_type,solver,bopt
sort_cl7_O0,Instr,1,0,4,0,0,4,0.006719,0,4,0,4,0.003716,0,184,0,184,0.184822,0,188,0,188,0.188538,0,0.000000,0,0.000000,4,188,0,192,0.195257,5658.479167,10739,192,0,1,0,0,863,236,2.102669,0,0000,0,0,0,inf,self-comp,0,std,boolector,0
sort_cl7_O0,Instr,1,0,4,0,0,4,0.006157,0,4,0,4,0.003110,0,70,0,70,0.066839,0,74,0,74,0.069949,0,0.000000,0,0.000000,4,74,0,78,0.076106,5617.551282,9232,74,118,1,0,0,863,236,0.879162,0,0000,0,0,0,inf,shadow,0,std,boolector,0
sort_cl7_O0,Instr,1,1,4,0,0,4,0.006471,0,4,0,4,0.003403,0,42,0,42,0.040387,0,46,0,46,0.043790,0,0.000000,0,0.000000,4,46,0,50,0.050261,5778.360000,9232,46,146,1,0,0,863,236,0.584561,0,0000,0,0,0,inf,shadow,0,std,boolector,0
sort_cl7_O0,Block,1,1,4,0,0,4,0.006794,0,0,0,0,0.000000,0,0,0,0,0.000000,0,4,0,4,0.003347,0,0.000000,0,0.000000,4,4,0,8,0.010141,7172.500000,9248,56,136,1,0,0,863,236,0.132352,0,0000,0,0,0,inf,shadow,0,std,boolector,0
sort_multiplex_cl7_O0,Instr,1,0,4,0,0,4,0.005799,0,4,0,4,0.003191,0,151,0,151,0.159756,0,155,0,155,0.162947,0,0.000000,0,0.000000,4,155,0,159,0.168746,4710.044025,9109,159,0,1,0,0,745,197,1.499044,0,0000,0,0,0,inf,self-comp,0,std,boolector,0
sort_multiplex_cl7_O0,Instr,1,0,4,0,0,4,0.006278,0,4,0,4,0.003232,0,49,0,49,0.050815,0,53,0,53,0.054048,0,0.000000,0,0.000000,4,53,0,57,0.060326,4523.684211,7644,53,106,1,0,0,745,197,0.546199,0,0000,0,0,0,inf,shadow,0,std,boolector,0
sort_multiplex_cl7_O0,Instr,1,1,4,0,0,4,0.006646,0,4,0,4,0.003646,0,32,0,32,0.036473,0,36,0,36,0.040119,0,0.000000,0,0.000000,4,36,0,40,0.046765,4705.400000,7644,36,123,1,0,0,745,197,0.396182,0,0000,0,0,0,inf,shadow,0,std,boolector,0
sort_multiplex_cl7_O0,Block,1,1,4,0,0,4,0.006858,0,0,0,0,0.000000,0,0,0,0,0.000000,0,4,0,4,0.003955,0,0.000000,0,0.000000,4,4,0,8,0.010813,5905.750000,7644,44,115,1,0,0,745,197,0.110240,0,0000,0,0,0,inf,shadow,0,std,boolector,0
sort_negative_cl7_O0,Instr,1,0,33,1,0,34,0.340503,1,20,0,21,0.027213,0,338,0,338,0.341829,1,358,0,359,0.369042,0,0.000000,0,0.000000,34,359,0,393,0.709545,3374.867684,4896,385,13,7,0,7,1247,420,3.562829,1,0000,7,0,0,inf,self-comp,0,std,boolector,0
sort_negative_cl7_O0,Instr,1,0,33,1,0,34,0.354350,1,20,0,21,0.033028,0,118,0,118,0.150829,1,138,0,139,0.183857,0,0.000000,0,0.000000,34,139,0,173,0.538207,2898.745665,3785,145,253,7,0,7,1247,420,1.737143,1,0000,7,0,0,inf,shadow,0,std,boolector,0
