label,fp,dd,untainting,Explor SAT,Explor UNSAT,Explor other,Explor total,Explor time,CF SAT,CF UNSAT,CF other,CF total,CF time,Mem SAT,Mem UNSAT,Mem other,Mem total,Mem time,Insec SAT,Insec UNSAT,Insec other,Insec total,Insec time,Model total,Model time,Enum total,Enum time,Total SAT,Total UNSAT,Total other,Total total,Total time,average query size,max query size,done checks,spared checks,paths,conditions,forks,dba_instructions,x86instructions,wall time,violations,status,exit code,MAX_DEPTH,MAX_PATH,TIMEOUT,store,canonical,mem_type,solver,bopt
donna_O0,Instr,1,0,504,106,0,610,3.683584,0,126,0,126,1.170021,0,6552,0,6552,99.071621,0,6678,0,6678,100.241642,0,0.000000,0,0.000000,504,6784,0,7288,103.925226,212091.488200,473684,6793,182,1,0,483,42442,9466,3600.004974,0,0001,8,0,0,inf,self-comp,0,std,boolector,0
donna_O0,Instr,1,0,568,127,0,695,6.512177,0,169,0,169,2.416833,0,3513,0,3513,77.587947,0,3682,0,3682,80.004780,0,0.000000,0,0.000000,568,3809,0,4377,86.516957,326894.056660,579232,3780,4915,1,0,528,52784,11978,3600.003463,0,0001,8,0,0,inf,shadow,0,std,boolector,0
donna_O0,Instr,1,1,676,147,0,823,13.232356,0,233,0,233,6.066690,0,2104,0,2104,81.279529,0,2337,0,2337,87.346219,0,0.000000,0,0.000000,676,2484,0,3160,100.578574,424425.410759,1000763,2344,11992,1,0,594,92849,21059,3600.003456,0,0001,8,0,0,inf,shadow,0,std,boolector,0
donna_O0,Block,1,1,848,175,0,1023,32.782558,0,0,0,0,0.000000,0,0,0,0,0.000000,0,811,0,811,44.930896,0,0.000000,0,0.000000,848,986,0,1834,77.713454,547696.395856,1478828,7289,13403,1,0,714,137375,31160,3600.003604,0,0001,8,0,0,inf,shadow,0,std,boolector,0
donna_O3,Instr,1,0,504,16,0,520,5.486950,0,26,0,26,0.549567,0,6234,0,6234,121.036453,0,6260,0,6260,121.586020,0,0.000000,0,0.000000,504,6276,0,6780,127.072969,310461.712979,702754,6428,126,1,0,478,58153,9715,3600.004407,0,0001,8,0,0,inf,self-comp,0,std,boolector,0
donna_O3,Instr,1,0,1341,55,0,1396,172.867161,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1341,55,0,1396,172.867161,807654.112464,2034597,0,36971,1,0,1199,333412,57458,3600.004015,0,0001,8,0,0,inf,shadow,0,std,boolector,0
donna_O3,Instr,1,1,1340,55,0,1395,172.511661,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1340,55,0,1395,172.511661,806774.583513,2034567,0,36970,1,0,1198,333406,57458,3600.003429,0,0001,8,0,0,inf,shadow,0,std,boolector,0
donna_O3,Block,1,1,1338,55,0,1393,171.239752,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1338,55,0,1393,171.239752,805011.801866,2034507,0,36968,1,0,1196,333394,57458,3600.003490,0,0001,8,0,0,inf,shadow,0,std,boolector,0
donna_O0,Instr,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,6670863,1,0,118294,44081603,10189402,999.402978,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
donna_O0,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,6670863,1,0,118294,44081603,10189402,1005.357361,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
donna_O0,Block,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,6670863,1,0,118294,44081603,10189402,1008.467386,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
donna_O3,Instr,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,1727606,1,0,43483,15847116,2742202,354.507404,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
donna_O3,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,1727606,1,0,43483,15847116,2742202,347.782022,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
donna_O3,Block,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,1727606,1,0,43483,15847116,2742202,347.135652,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
donna_O0,Instr,1,0,493,102,0,595,0.362681,0,115,0,115,0.032579,0,1750,0,1750,0.523614,0,1865,0,1865,0.556193,0,0.000000,0,0.000000,493,1967,0,2460,0.918874,55.556504,21783,1926,4642,1,0,479,39941,8839,3600.005950,0,0001,8,0,0,inf,shadow,0,std,boolector,1
