label,fp,dd,untainting,Explor SAT,Explor UNSAT,Explor other,Explor total,Explor time,CF SAT,CF UNSAT,CF other,CF total,CF time,Mem SAT,Mem UNSAT,Mem other,Mem total,Mem time,Insec SAT,Insec UNSAT,Insec other,Insec total,Insec time,Model total,Model time,Enum total,Enum time,Total SAT,Total UNSAT,Total other,Total total,Total time,average query size,max query size,done checks,spared checks,paths,conditions,forks,dba_instructions,x86instructions,wall time,violations,status,exit code,MAX_DEPTH,MAX_PATH,TIMEOUT,store,canonical,mem_type,solver,bopt
uint16_gte_mask_cl30_O0,Never,1,0,1,0,0,1,0.002736,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1,0,0,1,0.002736,555.000000,555,0,0,1,0,0,122,39,0.009712,0,0000,0,0,0,inf,sse,0,std,boolector,0
uint16_gte_mask_cl30_O0,Never,1,0,1,0,0,1,0.002862,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1,0,0,1,0.002862,87.000000,87,0,0,1,0,0,122,39,0.009416,0,0000,0,0,0,inf,sse,0,std,boolector,1
uint16_gte_mask_cl30_O0,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,122,39,0.005661,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
uint16_gte_mask_cl30_O3,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,67,17,0.004250,0,0000,0,0,0,inf,sse,0,std,boolector,0
uint16_gte_mask_cl30_O3,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,67,17,0.003720,0,0000,0,0,0,inf,sse,0,std,boolector,1
uint16_gte_mask_cl30_O3,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,67,17,0.004217,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
uint16_gte_mask_cl39_O0,Never,1,0,1,0,0,1,0.002981,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1,0,0,1,0.002981,573.000000,573,0,0,1,0,0,126,40,0.009665,0,0000,0,0,0,inf,sse,0,std,boolector,0
uint16_gte_mask_cl39_O0,Never,1,0,1,0,0,1,0.002899,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1,0,0,1,0.002899,93.000000,93,0,0,1,0,0,126,40,0.009811,0,0000,0,0,0,inf,sse,0,std,boolector,1
uint16_gte_mask_cl39_O0,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,126,40,0.005505,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
uint16_gte_mask_cl39_O3,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,52,14,0.003909,0,0000,0,0,0,inf,sse,0,std,boolector,0
uint16_gte_mask_cl39_O3,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,52,14,0.003549,0,0000,0,0,0,inf,sse,0,std,boolector,1
uint16_gte_mask_cl39_O3,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,52,14,0.003755,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
uint16_gte_mask_cl7_O0,Never,1,0,1,0,0,1,0.003061,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1,0,0,1,0.003061,601.000000,601,0,0,1,0,0,134,43,0.010766,0,0000,0,0,0,inf,sse,0,std,boolector,0
uint16_gte_mask_cl7_O0,Never,1,0,1,0,0,1,0.002780,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1,0,0,1,0.002780,101.000000,101,0,0,1,0,0,134,43,0.009472,0,0000,0,0,0,inf,sse,0,std,boolector,1
uint16_gte_mask_cl7_O0,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,134,43,0.005221,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
uint16_gte_mask_cl7_O3,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,52,14,0.003748,0,0000,0,0,0,inf,sse,0,std,boolector,0
uint16_gte_mask_cl7_O3,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,52,14,0.003662,0,0000,0,0,0,inf,sse,0,std,boolector,1
uint16_gte_mask_cl7_O3,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,52,14,0.004259,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
uint16_gte_mask_gcc5_O0,Never,1,0,1,0,0,1,0.002769,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1,0,0,1,0.002769,948.000000,948,0,0,1,0,0,176,45,0.011046,0,0000,0,0,0,inf,sse,0,std,boolector,0
uint16_gte_mask_gcc5_O0,Never,1,0,1,0,0,1,0.002834,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1,0,0,1,0.002834,87.000000,87,0,0,1,0,0,176,45,0.010073,0,0000,0,0,0,inf,sse,0,std,boolector,1
uint16_gte_mask_gcc5_O0,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,176,45,0.006209,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
uint16_gte_mask_gcc5_O3,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,83,23,0.004556,0,0000,0,0,0,inf,sse,0,std,boolector,0
uint16_gte_mask_gcc5_O3,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,83,23,0.004585,0,0000,0,0,0,inf,sse,0,std,boolector,1
uint16_gte_mask_gcc5_O3,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,83,23,0.004117,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
uint16_gte_mask_gcc8_O0,Never,1,0,1,0,0,1,0.002845,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1,0,0,1,0.002845,948.000000,948,0,0,1,0,0,176,45,0.011061,0,0000,0,0,0,inf,sse,0,std,boolector,0
uint16_gte_mask_gcc8_O0,Never,1,0,1,0,0,1,0.002829,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1,0,0,1,0.002829,87.000000,87,0,0,1,0,0,176,45,0.010676,0,0000,0,0,0,inf,sse,0,std,boolector,1
uint16_gte_mask_gcc8_O0,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,176,45,0.005827,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
uint16_gte_mask_gcc8_O3,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,83,23,0.004755,0,0000,0,0,0,inf,sse,0,std,boolector,0
uint16_gte_mask_gcc8_O3,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,83,23,0.004188,0,0000,0,0,0,inf,sse,0,std,boolector,1
uint16_gte_mask_gcc8_O3,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,83,23,0.004729,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
uint8_eq_mask_cl30_O0,Never,1,0,1,0,0,1,0.002942,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1,0,0,1,0.002942,886.000000,886,0,0,1,0,0,200,60,0.011569,0,0000,0,0,0,inf,sse,0,std,boolector,0
uint8_eq_mask_cl30_O0,Never,1,0,1,0,0,1,0.002074,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1,0,0,1,0.002074,159.000000,159,0,0,1,0,0,200,60,0.010840,0,0000,0,0,0,inf,sse,0,std,boolector,1
uint8_eq_mask_cl30_O0,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,200,60,0.006137,0,0000,0,0,0,inf,sse,1,row-map,boolector,0
uint8_eq_mask_cl30_O3,Never,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,0,1,0,0,116,26,0.005127,0,0000,0,0,0,inf,sse,0,std,boolector,0
