label,fp,dd,untainting,Explor SAT,Explor UNSAT,Explor other,Explor total,Explor time,CF SAT,CF UNSAT,CF other,CF total,CF time,Mem SAT,Mem UNSAT,Mem other,Mem total,Mem time,Insec SAT,Insec UNSAT,Insec other,Insec total,Insec time,Model total,Model time,Enum total,Enum time,Total SAT,Total UNSAT,Total other,Total total,Total time,average query size,max query size,done checks,spared checks,paths,conditions,forks,dba_instructions,x86instructions,wall time,violations,status,exit code,MAX_DEPTH,MAX_PATH,TIMEOUT,store,canonical,mem_type,solver,bopt
ct_eq_8_cl30_O0,Instr,1,0,4,0,0,4,0.008477,0,4,0,4,0.005868,0,44,0,44,0.094008,0,48,0,48,0.099876,0,0.000000,0,0.000000,4,48,0,52,0.108353,1421.750000,3058,52,0,1,0,0,256,74,0.295924,0,0000,0,0,0,inf,self-comp,0,std,boolector,0
ct_eq_8_cl30_O0,Instr,1,0,4,0,0,4,0.009923,0,4,0,4,0.007176,0,0,0,0,0.000000,0,4,0,4,0.007176,0,0.000000,0,0.000000,4,4,0,8,0.017099,1983.000000,2179,4,48,1,0,0,256,74,0.062949,0,0000,0,0,0,inf,shadow,0,std,boolector,0
ct_eq_8_cl30_O0,Instr,1,1,4,0,0,4,0.010353,0,4,0,4,0.008314,0,0,0,0,0.000000,0,4,0,4,0.008314,0,0.000000,0,0.000000,4,4,0,8,0.018667,1983.000000,2179,4,48,1,0,0,256,74,0.063702,0,0000,0,0,0,inf,shadow,0,std,boolector,0
ct_eq_8_cl30_O0,Block,1,1,4,0,0,4,0.010226,0,0,0,0,0.000000,0,0,0,0,0.000000,0,4,0,4,0.007869,0,0.000000,0,0.000000,4,4,0,8,0.018095,1983.000000,2179,4,48,1,0,0,256,74,0.062937,0,0000,0,0,0,inf,shadow,0,std,boolector,0
ct_eq_8_cl30_O3,Instr,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,6,0,6,0.016141,0,6,0,6,0.016141,0,0.000000,0,0.000000,0,6,0,6,0.016141,432.166667,1060,6,0,1,0,0,77,19,0.031612,0,0000,0,0,0,inf,self-comp,0,std,boolector,0
ct_eq_8_cl30_O3,Instr,1,0,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,6,1,0,0,77,19,0.004324,0,0000,0,0,0,inf,shadow,0,std,boolector,0
ct_eq_8_cl30_O3,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,6,1,0,0,77,19,0.004493,0,0000,0,0,0,inf,shadow,0,std,boolector,0
ct_eq_8_cl30_O3,Block,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,6,1,0,0,77,19,0.004254,0,0000,0,0,0,inf,shadow,0,std,boolector,0
ct_eq_8_cl39_O0,Instr,1,0,4,0,0,4,0.007731,0,4,0,4,0.005228,0,45,0,45,0.094598,0,49,0,49,0.099826,0,0.000000,0,0.000000,4,49,0,53,0.107557,1510.396226,3355,53,0,1,0,0,277,77,0.310602,0,0000,0,0,0,inf,self-comp,0,std,boolector,0
ct_eq_8_cl39_O0,Instr,1,0,4,0,0,4,0.009397,0,4,0,4,0.007222,0,0,0,0,0.000000,0,4,0,4,0.007222,0,0.000000,0,0.000000,4,4,0,8,0.016619,2141.500000,2339,4,49,1,0,0,277,77,0.063647,0,0000,0,0,0,inf,shadow,0,std,boolector,0
ct_eq_8_cl39_O0,Instr,1,1,4,0,0,4,0.009971,0,4,0,4,0.007206,0,0,0,0,0.000000,0,4,0,4,0.007206,0,0.000000,0,0.000000,4,4,0,8,0.017177,2141.500000,2339,4,49,1,0,0,277,77,0.065140,0,0000,0,0,0,inf,shadow,0,std,boolector,0
ct_eq_8_cl39_O0,Block,1,1,4,0,0,4,0.009488,0,0,0,0,0.000000,0,0,0,0,0.000000,0,4,0,4,0.007061,0,0.000000,0,0.000000,4,4,0,8,0.016550,2141.500000,2339,4,49,1,0,0,277,77,0.064549,0,0000,0,0,0,inf,shadow,0,std,boolector,0
