label,fp,dd,untainting,Explor SAT,Explor UNSAT,Explor other,Explor total,Explor time,CF SAT,CF UNSAT,CF other,CF total,CF time,Mem SAT,Mem UNSAT,Mem other,Mem total,Mem time,Term SAT,Term UNSAT,Term other,Term total,Term time,Insec SAT,Insec UNSAT,Insec other,Insec total,Insec time,Model total,Model time,Enum total,Enum time,Total SAT,Total UNSAT,Total other,Total total,Total time,average query size,max query size,done checks,spared checks,paths,conditions,forks,dba_instructions,x86instructions,wall time,violations,status,exit code,MAX_DEPTH,MAX_PATH,TIMEOUT,store,canonical,mem_type,solver,bopt
des_ct_8_main,Instr,1,1,1,1,0,2,0.309455,0,1,0,1,0.159294,0,0,0,0,0.000000,0,0,0,0,0.000000,0,1,0,1,0.159294,0,0.000000,0,0.000000,1,2,0,3,0.468749,753550.000000,753551,1,2468,1,81,81,68281,10543,6.031256,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
des_ct_16_main,Instr,1,1,2,2,0,4,0.916598,0,2,0,2,0.482522,0,0,0,0,0.000000,0,0,0,0,0.000000,0,2,0,2,0.482522,0,0.000000,0,0.000000,2,4,0,6,1.399120,1104366.000000,1455055,2,4317,1,127,127,129906,19871,16.244411,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
des_ct_24_main,Instr,1,1,3,3,0,6,1.854748,0,3,0,3,0.955339,0,0,0,0,0.000000,0,0,0,0,0.000000,0,3,0,3,0.955339,0,0.000000,0,0.000000,3,6,0,9,2.810088,1455182.000000,2156559,3,6166,1,173,173,191531,29199,30.200332,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
des_ct_32_main,Instr,1,1,4,4,0,8,3.051196,0,4,0,4,1.596484,0,0,0,0,0.000000,0,0,0,0,0.000000,0,4,0,4,1.596484,0,0.000000,0,0.000000,4,8,0,12,4.647680,1805998.000000,2858063,4,8015,1,219,219,253156,38527,47.175291,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
des_ct_40_main,Instr,1,1,5,5,0,10,4.498997,0,5,0,5,2.369082,0,0,0,0,0.000000,0,0,0,0,0.000000,0,5,0,5,2.369082,0,0.000000,0,0.000000,5,10,0,15,6.868079,2156814.000000,3559567,5,9864,1,265,265,314781,47855,68.163679,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
des_ct_48_main,Instr,1,1,6,6,0,12,6.440388,0,6,0,6,3.348969,0,0,0,0,0.000000,0,0,0,0,0.000000,0,6,0,6,3.348969,0,0.000000,0,0.000000,6,12,0,18,9.789357,2507630.000000,4261071,6,11713,1,311,311,376406,57183,97.700904,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
aes_ct_16_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,915,1,34,34,10106,1906,0.338109,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
aes_ct_32_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,1686,1,53,53,18915,3499,0.625998,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
aes_ct_48_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,2457,1,72,72,27724,5092,0.913287,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
aes_ct_64_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,3228,1,91,91,36533,6685,1.152599,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
aes_ct_80_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,3999,1,110,110,45342,8278,1.459484,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
aes_ct_96_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,4770,1,129,129,54151,9871,1.717381,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
des_ct_8_main,Instr,1,1,1,1,0,2,0.302657,0,1,0,1,0.159327,0,0,0,0,0.000000,0,0,0,0,0.000000,0,1,0,1,0.159327,0,0.000000,0,0.000000,1,2,0,3,0.461984,753550.000000,753551,1,2468,1,81,81,68281,10543,6.200974,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
des_ct_16_main,Instr,1,1,2,2,0,4,0.912196,0,2,0,2,0.480887,0,0,0,0,0.000000,0,0,0,0,0.000000,0,2,0,2,0.480887,0,0.000000,0,0.000000,2,4,0,6,1.393083,1104366.000000,1455055,2,4317,1,127,127,129906,19871,16.181536,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
des_ct_24_main,Instr,1,1,3,3,0,6,1.828509,0,3,0,3,0.951722,0,0,0,0,0.000000,0,0,0,0,0.000000,0,3,0,3,0.951722,0,0.000000,0,0.000000,3,6,0,9,2.780231,1455182.000000,2156559,3,6166,1,173,173,191531,29199,30.090326,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
des_ct_32_main,Instr,1,1,4,4,0,8,3.028546,0,4,0,4,1.584038,0,0,0,0,0.000000,0,0,0,0,0.000000,0,4,0,4,1.584038,0,0.000000,0,0.000000,4,8,0,12,4.612584,1805998.000000,2858063,4,8015,1,219,219,253156,38527,48.790080,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
des_ct_40_main,Instr,1,1,5,5,0,10,4.505872,0,5,0,5,2.356409,0,0,0,0,0.000000,0,0,0,0,0.000000,0,5,0,5,2.356409,0,0.000000,0,0.000000,5,10,0,15,6.862281,2156814.000000,3559567,5,9864,1,265,265,314781,47855,71.219629,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
des_ct_48_main,Instr,1,1,6,6,0,12,6.432063,0,6,0,6,3.348217,0,0,0,0,0.000000,0,0,0,0,0.000000,0,6,0,6,3.348217,0,0.000000,0,0.000000,6,12,0,18,9.780280,2507630.000000,4261071,6,11713,1,311,311,376406,57183,98.124735,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
aes_ct_16_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,915,1,34,34,10106,1906,0.371725,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
aes_ct_32_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,1686,1,53,53,18915,3499,0.601100,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
aes_ct_48_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,2457,1,72,72,27724,5092,0.888097,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
aes_ct_64_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,3228,1,91,91,36533,6685,1.171417,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
aes_ct_80_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,3999,1,110,110,45342,8278,1.411792,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
aes_ct_96_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,4770,1,129,129,54151,9871,1.695452,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
des_ct_8_main,Instr,1,1,1,1,0,2,0.302872,0,1,0,1,0.162515,0,0,0,0,0.000000,0,0,0,0,0.000000,0,1,0,1,0.162515,0,0.000000,0,0.000000,1,2,0,3,0.465387,753550.000000,753551,1,2468,1,81,81,68281,10543,6.155516,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
des_ct_16_main,Instr,1,1,2,2,0,4,0.920829,0,2,0,2,0.480699,0,0,0,0,0.000000,0,0,0,0,0.000000,0,2,0,2,0.480699,0,0.000000,0,0.000000,2,4,0,6,1.401528,1104366.000000,1455055,2,4317,1,127,127,129906,19871,16.249233,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
des_ct_24_main,Instr,1,1,3,3,0,6,1.814774,0,3,0,3,0.954511,0,0,0,0,0.000000,0,0,0,0,0.000000,0,3,0,3,0.954511,0,0.000000,0,0.000000,3,6,0,9,2.769285,1455182.000000,2156559,3,6166,1,173,173,191531,29199,30.227098,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
des_ct_32_main,Instr,1,1,4,4,0,8,3.022091,0,4,0,4,1.588218,0,0,0,0,0.000000,0,0,0,0,0.000000,0,4,0,4,1.588218,0,0.000000,0,0.000000,4,8,0,12,4.610309,1805998.000000,2858063,4,8015,1,219,219,253156,38527,48.647720,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
des_ct_40_main,Instr,1,1,5,5,0,10,4.498519,0,5,0,5,2.357330,0,0,0,0,0.000000,0,0,0,0,0.000000,0,5,0,5,2.357330,0,0.000000,0,0.000000,5,10,0,15,6.855849,2156814.000000,3559567,5,9864,1,265,265,314781,47855,70.840122,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
des_ct_48_main,Instr,1,1,6,6,0,12,6.419583,0,6,0,6,3.335261,0,0,0,0,0.000000,0,0,0,0,0.000000,0,6,0,6,3.335261,0,0.000000,0,0.000000,6,12,0,18,9.754844,2507630.000000,4261071,6,11713,1,311,311,376406,57183,98.137251,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
aes_ct_16_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,915,1,34,34,10106,1906,0.336190,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
aes_ct_32_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,1686,1,53,53,18915,3499,0.613923,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
aes_ct_48_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,2457,1,72,72,27724,5092,0.911801,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
aes_ct_64_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,3228,1,91,91,36533,6685,1.148941,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
