label,fp,dd,untainting,Explor SAT,Explor UNSAT,Explor other,Explor total,Explor time,CF SAT,CF UNSAT,CF other,CF total,CF time,Mem SAT,Mem UNSAT,Mem other,Mem total,Mem time,Term SAT,Term UNSAT,Term other,Term total,Term time,Insec SAT,Insec UNSAT,Insec other,Insec total,Insec time,Model total,Model time,Enum total,Enum time,Total SAT,Total UNSAT,Total other,Total total,Total time,average query size,max query size,done checks,spared checks,paths,conditions,forks,dba_instructions,x86instructions,wall time,violations,status,exit code,MAX_DEPTH,MAX_PATH,TIMEOUT,store,canonical,mem_type,solver,bopt
chacha20_500_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,6249,1,106,449,77235,13257,2.725658,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
chacha20_1000_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,12485,1,191,926,154195,26399,5.057910,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
chacha20_1500_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,18721,1,276,1403,231155,39541,7.744912,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
chacha20_2000_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,24957,1,361,1880,308115,52683,10.174753,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
chacha20_2500_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,31212,1,449,2360,385163,65843,12.873092,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
chacha20_3000_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,36714,1,536,2790,452808,77420,14.939489,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
sha256_500_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,17456,1,401,587,179283,33489,5.722582,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
sha256_1000_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,34511,1,786,969,356493,66703,11.344360,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
sha256_1500_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,51566,1,1171,1351,533699,99914,16.752293,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
sha256_2000_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,68621,1,1556,1733,710905,133125,22.230453,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
