label,fp,dd,untainting,Explor SAT,Explor UNSAT,Explor other,Explor total,Explor time,CF SAT,CF UNSAT,CF other,CF total,CF time,Mem SAT,Mem UNSAT,Mem other,Mem total,Mem time,Term SAT,Term UNSAT,Term other,Term total,Term time,Insec SAT,Insec UNSAT,Insec other,Insec total,Insec time,Model total,Model time,Enum total,Enum time,Total SAT,Total UNSAT,Total other,Total total,Total time,average query size,max query size,done checks,spared checks,paths,conditions,forks,dba_instructions,x86instructions,wall time,violations,status,exit code,MAX_DEPTH,MAX_PATH,TIMEOUT,store,canonical,mem_type,solver,bopt
salsa20_500_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,6708,1,218,218,77244,14985,2.525173,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
salsa20_1000_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,13066,1,319,319,151864,29369,4.889508,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
salsa20_1500_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,19424,1,420,420,226484,43753,7.252064,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
salsa20_2000_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,25782,1,521,521,301104,58137,9.509058,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
salsa20_2500_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,32142,1,622,622,375742,72523,11.956040,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
salsa20_3000_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,37799,1,726,726,441472,85234,14.116749,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
chacha20_500_main,Instr,1,1,1,1,0,2,0.439450,0,1,0,1,0.223500,0,0,0,0,0.000000,0,0,0,0,0.000000,0,1,0,1,0.223500,0,0.000000,0,0.000000,1,2,0,3,0.662950,771452.000000,771453,1,5951,1,206,206,77545,13568,7.335672,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
chacha20_1000_main,Instr,1,1,1,1,0,2,1.056900,0,1,0,1,0.530382,0,0,0,0,0.000000,0,0,0,0,0.000000,0,1,0,1,0.530382,0,0.000000,0,0.000000,1,2,0,3,1.587282,1648204.000000,1648205,1,11501,1,296,296,151800,26369,16.060218,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
chacha20_1500_main,Instr,1,1,1,1,0,2,1.689086,0,1,0,1,0.840296,0,0,0,0,0.000000,0,0,0,0,0.000000,0,1,0,1,0.840296,0,0.000000,0,0.000000,1,2,0,3,2.529382,2524944.000000,2524945,1,17051,1,386,386,226053,39169,25.171368,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
chacha20_2000_main,Instr,1,1,1,1,0,2,2.253875,0,1,0,1,1.144496,0,0,0,0,0.000000,0,0,0,0,0.000000,0,1,0,1,1.144496,0,0.000000,0,0.000000,1,2,0,3,3.398371,3401696.000000,3401697,1,22601,1,476,476,300308,51970,32.906156,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
chacha20_2500_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,28168,1,569,569,374650,64786,13.148735,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
chacha20_3000_main,Instr,1,1,1,1,0,2,3.451178,0,1,0,1,1.743044,0,0,0,0,0.000000,0,0,0,0,0.000000,0,1,0,1,1.743044,0,0.000000,0,0.000000,1,2,0,3,5.194222,5047677.000000,5047678,1,33103,1,676,676,440478,76178,50.742373,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
sha256_500_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,13099,1,2740,2743,222931,40346,6.552137,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
sha256_1000_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,25616,1,5329,5335,441459,79731,12.932699,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
sha256_1500_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,38133,1,7918,7927,659987,119116,19.753994,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
sha256_2000_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,50650,1,10507,10519,878515,158501,26.664634,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
sha256_2500_main,Instr,1,1,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,0,0,0,0,0.000000,-nan,0,0,63167,1,13096,13111,1097023,197882,32.877811,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
