label,fp,dd,untainting,Explor SAT,Explor UNSAT,Explor other,Explor total,Explor time,CF SAT,CF UNSAT,CF other,CF total,CF time,Mem SAT,Mem UNSAT,Mem other,Mem total,Mem time,Term SAT,Term UNSAT,Term other,Term total,Term time,Insec SAT,Insec UNSAT,Insec other,Insec total,Insec time,Model total,Model time,Enum total,Enum time,Total SAT,Total UNSAT,Total other,Total total,Total time,average query size,max query size,done checks,spared checks,paths,conditions,forks,dba_instructions,x86instructions,wall time,violations,status,exit code,MAX_DEPTH,MAX_PATH,TIMEOUT,store,canonical,mem_type,solver,bopt
tls1_cbc_remove_padding_patch_64_main,Instr,1,1,1676,638,0,2314,174.783007,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1676,638,0,2314,174.783007,157337.169404,343497,0,10195,520,1163,1163,210361,36227,781.549719,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
tls1_cbc_remove_padding_patch_128_main,Instr,1,1,1804,766,0,2570,180.058858,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1804,766,0,2570,180.058858,154906.198444,344521,0,10451,520,1291,1291,225081,38403,847.193948,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
tls1_cbc_remove_padding_patch_192_main,Instr,1,1,1932,894,0,2826,195.342828,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1932,894,0,2826,195.342828,160365.566171,345545,0,10707,520,1419,1419,239801,40579,939.308070,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
tls1_cbc_remove_padding_patch_256_main,Instr,1,1,2060,1022,0,3082,211.621683,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,2060,1022,0,3082,211.621683,171744.122648,346569,0,10961,520,1545,1545,254503,42751,1081.946762,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
tls1_cbc_remove_padding_patch_320_main,Instr,1,1,2060,1022,0,3082,220.841501,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,2060,1022,0,3082,220.841501,172768.122648,347593,0,10961,520,1545,1545,254503,42751,1078.238129,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
tls1_cbc_remove_padding_patch_384_main,Instr,1,1,2060,1022,0,3082,221.339145,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,2060,1022,0,3082,221.339145,173792.122648,348617,0,10961,520,1545,1545,254503,42751,1090.878534,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
tls1_cbc_remove_padding_patch_64_main,Instr,1,1,1676,638,0,2314,175.589350,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1676,638,0,2314,175.589350,157337.169404,343497,0,10195,520,1163,1163,210361,36227,791.886208,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
tls1_cbc_remove_padding_patch_128_main,Instr,1,1,1804,766,0,2570,180.446010,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1804,766,0,2570,180.446010,154906.198444,344521,0,10451,520,1291,1291,225081,38403,842.814033,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
tls1_cbc_remove_padding_patch_192_main,Instr,1,1,1932,894,0,2826,195.682483,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,1932,894,0,2826,195.682483,160365.566171,345545,0,10707,520,1419,1419,239801,40579,946.950372,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
tls1_cbc_remove_padding_patch_256_main,Instr,1,1,2060,1022,0,3082,212.538594,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0,0,0,0.000000,0,0.000000,0,0.000000,2060,1022,0,3082,212.538594,171744.122648,346569,0,10961,520,1545,1545,254503,42751,1086.868944,0,0000,0,0,0,inf,shadow,1,row-map,boolector,0
